tissue,repeat,type,ratio
testes,Rsp,plus_all,0.456431535
testes,1.688,plus_all,0.468488942
ovary,Rsp,plus_all,0.458823529
ovary,1.688,plus_all,0.45196926
ovary,Rsp,plus_all,0.584070796
ovary,1.688,plus_all,0.471453287
ovary,Rsp,plus_all,0.502369668
ovary,1.688,plus_all,0.509247242
ovary,Rsp,plus_all,0.539325843
ovary,1.688,plus_all,0.487707261
testes,Rsp,minus_all,0.543568465
testes,1.688,minus_all,0.531511058
ovary,Rsp,minus_all,0.541176471
ovary,1.688,minus_all,0.54803074
ovary,Rsp,minus_all,0.415929204
ovary,1.688,minus_all,0.528546713
ovary,Rsp,minus_all,0.497630332
ovary,1.688,minus_all,0.490752758
ovary,Rsp,minus_all,0.460674157
ovary,1.688,minus_all,0.512292739
testes,Rsp,plus_unique,0.358333333
testes,1.688,plus_unique,0.377498504
ovary,Rsp,plus_unique,0.692307692
ovary,1.688,plus_unique,0.358433735
ovary,Rsp,plus_unique,0.857142857
ovary,1.688,plus_unique,0.405953992
ovary,Rsp,plus_unique,0.484848485
ovary,1.688,plus_unique,0.52551382
ovary,Rsp,plus_unique,0.52173913
ovary,1.688,plus_unique,0.483428571
testes,Rsp,minus_unique,0.641666667
testes,1.688,minus_unique,0.622501496
ovary,Rsp,minus_unique,0.307692308
ovary,1.688,minus_unique,0.641566265
ovary,Rsp,minus_unique,0.142857143
ovary,1.688,minus_unique,0.594046008
ovary,Rsp,minus_unique,0.515151515
ovary,1.688,minus_unique,0.47448618
ovary,Rsp,minus_unique,0.47826087
ovary,1.688,minus_unique,0.516571429